Complex ID,Charge,Shift,Dipole_point_q,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,9,11,13,14,21,23,37,40,41,42,43,46,Source_doi
1,-2000,-1630,16.71301257,91,[PtCl4]2-,anion,sq-pl,hal,Cl[Pt@SP1](Cl)(Cl)Cl,569.0346601,569.0346601,569.0294975,569.0294961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
2,-2000,-1842,770.7583657,56,[PtCl3Br]2-,anion,sq-pl,hal,Cl[Pt@SP1](Cl)(Cl)Br,1115.450553,565.4651458,565.4651283,567.4311798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
3,0,-2090,0.254179799,26,trans-[PtCl2Br2],neutral,sq-pl,hal,Br[Pt@SP1](Cl)(Br)Cl,1106.278839,1106.278835,562.2614106,562.2614053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
4,0,-2103,1003.165338,18,cis-[PtCl2Br2],neutral,sq-pl,hal,Cl[Pt@SP1](Cl)(Br)[Br],1111.684443,1111.684381,563.5778996,563.5778558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
5,-2000,-2346,1414.192862,-6,[PtCl3I]2-,anion,sq-pl,hal,Cl[Pt@SP1](Cl)(Cl)I,1568.940212,564.3829447,564.3813476,571.1908121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
6,-2000,-2377,657.924086,-17,[PtClBr3]2-,anion,sq-pl,hal,Cl[Pt@SP1](Br)(Br)Br,1108.635533,1101.598619,1101.598604,560.4605272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
7,-2000,-2690,0.007541703,-55,[PtBr4]2-,anion,sq-pl,hal,Br[Pt@SP1](Br)(Br)Br,1098.239948,1098.239943,1098.239942,1098.23994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
8,-2000,-3103,1665.137007,-112,cis-[PtCl2I2]2-,anion,sq-pl,hal,Cl[Pt@SP1](Cl)(I)I,1559.54746,1559.48375,566.3475338,566.348305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
9,-2000,-3260,576.5131313,-119,[PtBr3I]2-,anion,sq-pl,hal,Br[Pt@SP1](Br)(Br)I,1548.310399,1095.039112,1095.038439,1102.948169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
10,-2000,-3977,0.216704546,-184,trans-[PtBr2I2]2-,anion,sq-pl,hal,I[Pt@SP1](Br)(I)Br,1552.77304,1552.771589,1091.467676,1091.467674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
11,-2000,-3985,742.5487469,-184,cis-[PtBr2I2]2-,anion,sq-pl,hal,Br[Pt@SP1](Br)(I)I,1543.607239,1543.576794,1099.61478,1099.614093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
12,-2000,-4213,1014.32237,-208,[PtClI3]2-,anion,sq-pl,hal,Cl[Pt@SP1](I)(I)I,1549.868254,1551.515436,1551.514964,561.0798384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
13,-2000,-4667,486.3400451,-243,[PtBrI3]2-,anion,sq-pl,hal,Br[Pt@SP1](I)(I)I,1536.477604,1543.71,1543.707388,1090.254829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
14,-2000,-5475,0.009531342,-304,[PtI4]2-,anion,sq-pl,hal,I[Pt@SP1](I)(I)I,1535.628131,1535.635989,1535.617965,1535.597743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
15,0,-2169,679.3044769,-23,[PtCl2(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(Cl))=C(C=CC4=CC=C3C=C1)C,566.6272192,566.606305,238.554158,238.5248551,223.6056288,223.6050989,150.260254,145.5474848,140.9467589,104.3032909,104.299683,28.84781995,28.84772517,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
16,0,-2456,674.2025214,-54,[PtBrCl(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(Br))=C(C=CC4=CC=C3C=C1)C,1107.211131,566.9791423,238.2040192,238.1806197,223.4891797,223.488726,150.4498508,145.3352179,140.2629511,104.4681544,104.4655454,28.73594976,28.8521608,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
17,0,-2886,666.8159418,-99,[PtBr2(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Br)([CH2][CH2]5)(Br))=C(C=CC4=CC=C3C=C1)C,1094.842159,1094.762334,262.6634206,216.9162182,220.317793,220.0231416,159.3883159,153.8428037,132.3161374,107.5072215,109.3466591,28.86200181,28.63995149,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
18,0,-3087,694.328048,-127,[PtClI(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C,1565.549228,570.0315021,237.8796671,237.8314434,223.2496801,223.2478085,150.2854331,145.1391106,139.9469408,104.3699404,104.3635901,28.64201942,28.83561204,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
19,0,-3426,672.1036297,-170,[PtBrI(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Br)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C,1552.911409,1093.962163,264.8585489,215.9254687,219.7090542,219.2948716,160.3861457,154.3474262,131.5794936,107.8895316,109.8270734,28.71272416,28.90046574,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
20,0,-4041,695.8492842,-243,[PtI2(η2-CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(I)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C,1551.48776,1551.42119,266.401541,215.2971853,219.2252684,218.6451992,161.0670034,154.6623432,131.104491,108.1301061,110.1493444,28.7471808,28.51838113,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
21,-2000,7090,0.00025442,944,[PtF6] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[F],353.4143146,353.4142543,353.4141213,353.4141208,353.4141083,353.4140928,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
22,-2000,5856,110.9324823,886,[PtClF5] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[Cl],565.8573963,354.324662,354.3246459,354.3246357,354.3246433,351.124513,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
23,-2000,5669,797.3248028,854,[PtBrF5] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[Br],1099.03748,354.1284613,354.1284677,354.1284795,354.1284852,351.066779,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
24,-2000,4887,0.000159121,813,trans-[PtCl2F4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([F])([F])([F])([F])[Cl],563.659447,563.659447,354.7726641,354.77266,354.7725464,354.7725445,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
25,-2000,4551,3.48E-05,751,trans-[PtBr2F4] 2-,anion,oct,hal,[Pt@OH1]([Br])([F])([F])([F])([F])[Br],1086.031219,1086.031217,354.4318954,354.4318951,354.4318852,354.4318844,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
26,-2000,4547,138.3439684,818,cis-[PtCl2F4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([F])([F])([F])[F],564.4867235,564.4867176,355.138012,355.1380043,351.3381712,351.3381306,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
27,-2000,4136,933.4378038,747,cis-[PtBr2F4] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([Br])[Br],1091.838535,1091.837692,354.6379204,354.6379106,350.6937728,350.6937257,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
28,-2000,3551,78.23061264,739,mer-[PtCl3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([Cl])([Cl])([Cl])[F],562.9084328,562.3013145,562.3011353,355.4963457,355.4963459,351.2824377,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
29,-2000,3191,154.0980433,744,fac-[PtCl3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([Cl])([Cl])[Cl],564.0184255,564.0180678,564.0180219,351.5170093,351.516774,351.5167948,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
30,-2000,2907,549.1343081,634,mer-[PtBr3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([Br])([Br])([Br])[F],1085.115358,1080.829455,1080.830988,354.677758,354.6777661,350.1489474,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
