Rho at Nucleus,DelSqRho,V,G,L,Vnuc,Ven,Vrep,DelSqVen,DelSqVrep,DelSqK,ESP,ESPe,q(A),L(A),K(A),|Mu_Intra(A)|,Brutto,Complex,Geometry,Charge_class,Ligand,Molecular dipole,Shift,Smiles,Source_doi
1858091.595,-10166400000000.00,-2542030000000.00,217378044.50,2541600000000.00,7800000015.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229400000000000000.00,-610.5685243,-625.8389988,0.490444021,-0.000180431,24953.68691,0.000259003,[PtCl4]2-,4,sq-pl,anion,hal,0.000288,-1630,Cl[Pt-2](Cl)(Cl)Cl,https://doi.org/10.1002/ejic.201600573
1858091.464,-10166400000000.00,-2542030000000.00,217377270.90,2541600000000.00,7800000019.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434792000000000000000000000000000.00,-45229400000000000000.00,-610.5631809,-629.4406684,0.434639931,5.43E-05,24953.69882,0.136420377,[PtCl3Br]2-,5,sq-pl,anion,hal,0.299,-1842,Cl[Pt-2](Cl)(Cl)Br,https://doi.org/10.1002/ejic.201600573
1858091.286,-10166400000000.00,-2542030000000.00,217376425.70,2541600000000.00,7800000023.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229400000000000000.00,-610.5583964,-633.0430016,0.377425222,0.000285378,24953.71057,0.000263884,trans-[PtCl2Br2],6,sq-pl,neutral,hal,0.000341,-2090,Br[Pt-2](Cl)(Br)Cl,https://doi.org/10.1002/ejic.201600573
1858091.346,-10166400000000.00,-2542030000000.00,217376482.20,2541600000000.00,7800000023.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434790000000000000000000000000000.00,-45229400000000000000.00,-610.5582183,-633.0480951,0.376732673,6.53E-05,24953.71043,0.19818912,cis-[PtCl2Br2],7,sq-pl,neutral,hal,0.406,-2103,Cl[Pt-2](Cl)(Br)Br,https://doi.org/10.1002/ejic.201600573
1858091.142,-10166400000000.00,-2542030000000.00,217376574.20,2541600000000.00,7800000022.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434789000000000000000000000000000.00,-45229400000000000000.00,-610.5580699,-632.4540364,0.353615599,0.00016119,24953.7191,0.32803483,[PtCl3I]2-   ,8,sq-pl,anion,hal,0.533,-2346,Cl[Pt-2](Cl)(Cl)I,https://doi.org/10.1002/ejic.201600573
1858091.187,-10166400000000.00,-2542030000000.00,217375626.20,2541600000000.00,7800000026.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434792000000000000000000000000000.00,-45229400000000000000.00,-610.5538052,-636.6561548,0.317670003,-6.67E-05,24953.72202,0.139154032,[PtClBr3]2-,9,sq-pl,anion,hal,0.272,-2377,Cl[Pt-2](Br)(Br)Br,https://doi.org/10.1002/ejic.201600573
1858091.032,-10166400000000.00,-2542030000000.00,217374752.40,2541600000000.00,7800000030.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229400000000000000.00,-610.5497302,-640.2682321,0.256987682,-0.000121832,24953.73333,0.00105266,[PtBr4]2-,10,sq-pl,anion,hal,0.00109,-2690,Br[Pt-2](Br)(Br)Br,https://doi.org/10.1002/ejic.201600573
1858090.736,-10166400000000.00,-2542030000000.00,217375084.90,2541590000000.00,7800000029.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434786000000000000000000000000000.00,-45229400000000000000.00,-610.5489688,-639.0856475,0.206034032,-8.92E-05,24953.75142,0.479131667,cis-[PtCl2I2]2- ,11,sq-pl,anion,hal,0.685,-3103,Cl[Pt-2](Cl)(I)I,https://doi.org/10.1002/ejic.201600573
1858090.728,-10166400000000.00,-2542030000000.00,217373981.00,2541590000000.00,7800000033.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229400000000000000.00,-610.5456884,-643.2786597,0.169811657,-0.000146389,24953.75377,0.202029552,[PtBr3I]2-,12,sq-pl,anion,hal,0.214,-3260,Br[Pt-2](Br)(Br)I,https://doi.org/10.1002/ejic.201600573
1858090.44,-10166400000000.00,-2542030000000.00,217373136.80,2541590000000.00,7800000036.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229400000000000000.00,-610.5419751,-646.2677052,0.084259681,-1.75E-05,24953.77299,0.000811368,trans-[PtBr2I2]2- ,13,sq-pl,anion,hal,0.000852,-3977,I[Pt-2](Br)(I)Br,https://doi.org/10.1002/ejic.201600573
