Rho at Nucleus,DelSqRho,V,G,K,L,Vnuc,Ven,Vrep,DelSqV,DelSqVen,DelSqVrep,DelSqG,DelSqK,ESP,ESP at Nucleus,ESPe,ESPe at Nucleus,ESPn,ESPn at Nucleus,q(A),L(A),K(A),K_Scaled(A),|Mu_Intra(A)|,Shift,Brutto,Complex,Geometry,Charge_class,Ligand,Source_doi,Molecular dipole,Smiles
1858091.595,-1.01664E+13,-2.54203E+12,217378044.5,2.54181E+12,2.5416E+12,7800000015,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5685243,-610.5685243,-625.8389988,-625.8389988,15.27047455,15.27047455,0.490444021,-0.000180431,24953.68691,-24953.68691,0.000259003,-1630,[PtCl4]2-,4,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,2.88E-04,Cl[Pt-2](Cl)(Cl)Cl
1858091.464,-1.01664E+13,-2.54203E+12,217377270.9,2.54181E+12,2.5416E+12,7800000019,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34792E+32,4.63652E+18,-4.52294E+19,-610.5631809,-610.5631809,-629.4406684,-629.4406684,18.87748752,18.87748752,0.434639931,5.43E-05,24953.69882,-24953.69882,0.136420377,-1842,[PtCl3Br]2-,5,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,2.99E-01,Cl[Pt-2](Cl)(Cl)Br
1858091.286,-1.01664E+13,-2.54203E+12,217376425.7,2.54181E+12,2.5416E+12,7800000023,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5583964,-610.5583964,-633.0430016,-633.0430016,22.48460522,22.48460522,0.377425222,0.000285378,24953.71057,-24953.71057,0.000263884,-2090,trans-[PtCl2Br2],6,sq-pl,neutral,hal,https://doi.org/10.1002/ejic.201600573,3.41E-04,Br[Pt-2](Cl)(Br)Cl
1858091.346,-1.01664E+13,-2.54203E+12,217376482.2,2.54181E+12,2.5416E+12,7800000023,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.3479E+32,4.63652E+18,-4.52294E+19,-610.5582183,-610.5582183,-633.0480951,-633.0480951,22.48987683,22.48987683,0.376732673,6.53E-05,24953.71043,-24953.71043,0.19818912,-2103,cis-[PtCl2Br2],7,sq-pl,neutral,hal,https://doi.org/10.1002/ejic.201600573,4.06E-01,Cl[Pt-2](Cl)(Br)Br
1858091.142,-1.01664E+13,-2.54203E+12,217376574.2,2.54181E+12,2.5416E+12,7800000022,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34789E+32,4.63652E+18,-4.52294E+19,-610.5580699,-610.5580699,-632.4540364,-632.4540364,21.89596658,21.89596658,0.353615599,0.00016119,24953.7191,-24953.7191,0.32803483,-2346,[PtCl3I]2-   ,8,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,5.33E-01,Cl[Pt-2](Cl)(Cl)I
1858091.187,-1.01664E+13,-2.54203E+12,217375626.2,2.54181E+12,2.5416E+12,7800000026,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34792E+32,4.63652E+18,-4.52294E+19,-610.5538052,-610.5538052,-636.6561548,-636.6561548,26.10234958,26.10234958,0.317670003,-6.67E-05,24953.72202,-24953.72202,0.139154032,-2377,[PtClBr3]2-,9,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,2.72E-01,Cl[Pt-2](Br)(Br)Br
1858091.032,-1.01664E+13,-2.54203E+12,217374752.4,2.54181E+12,2.5416E+12,7800000030,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5497302,-610.5497302,-640.2682321,-640.2682321,29.71850195,29.71850195,0.256987682,-0.000121832,24953.73333,-24953.73333,0.00105266,-2690,[PtBr4]2-,10,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,1.09E-03,Br[Pt-2](Br)(Br)Br
1858090.736,-1.01664E+13,-2.54203E+12,217375084.9,2.54181E+12,2.54159E+12,7800000029,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34786E+32,4.63652E+18,-4.52294E+19,-610.5489688,-610.5489688,-639.0856475,-639.0856475,28.5366787,28.5366787,0.206034032,-8.92E-05,24953.75142,-24953.75142,0.479131667,-3103,cis-[PtCl2I2]2- ,11,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,6.85E-01,Cl[Pt-2](Cl)(I)I
1858090.728,-1.01664E+13,-2.54203E+12,217373981,2.54181E+12,2.54159E+12,7800000033,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5456884,-610.5456884,-643.2786597,-643.2786597,32.73297137,32.73297137,0.169811657,-0.000146389,24953.75377,-24953.75377,0.202029552,-3260,[PtBr3I]2-,12,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,2.14E-01,Br[Pt-2](Br)(Br)I
1858090.44,-1.01664E+13,-2.54203E+12,217373136.8,2.54181E+12,2.54159E+12,7800000036,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5419751,-610.5419751,-646.2677052,-646.2677052,35.72573016,35.72573016,0.084259681,-1.75E-05,24953.77299,-24953.77299,0.000811368,-3977,trans-[PtBr2I2]2- ,13,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,8.52E-04,I[Pt-2](Br)(I)Br
1858090.411,-1.01664E+13,-2.54203E+12,217373209.9,2.54181E+12,2.54159E+12,7800000036,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34792E+32,4.63652E+18,-4.52294E+19,-610.5419402,-610.5419402,-646.289054,-646.289054,35.74711387,35.74711387,0.079528816,-0.000324197,24953.77437,-24953.77437,0.288016866,-3985,cis-[PtBr2I2]2- ,14,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,2.83E-01,Br[Pt-2](Br)(I)I
1858090.273,-1.01664E+13,-2.54203E+12,217373312.9,2.54181E+12,2.54159E+12,7800000035,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34789E+32,4.63652E+18,-4.52294E+19,-610.541577,-610.541577,-645.6716239,-645.6716239,35.13004694,35.13004693,0.057557235,-8.22E-05,24953.782,-24953.782,0.347831785,-4213,[PtClI3]2- ,15,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,4.41E-01,Cl[Pt-2](I)(I)I
