Rho at Nucleus;DelSqRho;V;G;K;L;Vnuc;Ven;Vrep;DelSqV;DelSqVen;DelSqVrep;DelSqG;DelSqK;ESP;ESP at Nucleus;ESPe;ESPe at Nucleus;ESPn;ESPn at Nucleus;q(A);L(A);K(A);|Mu_Intra(A)|;Shift;Brutto;Complex;Geometry;Charge_class;Ligand;Source_doi;Molecular dipole;Smiles
1858091.595;-10166400000000.0;-2542030000000.0;217378044.5;2541810000000.0;2541600000000.0;7800000015;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5685243;-610.5685243;-625.8389988;-625.8389988;15.27047455;15.27047455;0.490444021;-0.000180431;24953.68691;0.000259003;-1630;[PtCl4]2-;1;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.000288;Cl[Pt-2](Cl)(Cl)Cl
1858091.464;-10166400000000.0;-2542030000000.0;217377270.9;2541810000000.0;2541600000000.0;7800000019;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34792e+32;4.63652e+18;-4.52294e+19;-610.5631809;-610.5631809;-629.4406684;-629.4406684;18.87748752;18.87748752;0.434639931;5.43e-05;24953.69882;0.136420377;-1842;[PtCl3Br]2-;2;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.299;Cl[Pt-2](Cl)(Cl)Br
1858091.286;-10166400000000.0;-2542030000000.0;217376425.7;2541810000000.0;2541600000000.0;7800000023;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5583964;-610.5583964;-633.0430016;-633.0430016;22.48460522;22.48460522;0.377425222;0.000285378;24953.71057;0.000263884;-2090;trans-[PtCl2Br2];3;sq-pl;neutral;hal;https://doi.org/10.1002/ejic.201600573;0.000341;Br[Pt-2](Cl)(Br)Cl
1858091.346;-10166400000000.0;-2542030000000.0;217376482.2;2541810000000.0;2541600000000.0;7800000023;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.3478999999999995e+32;4.63652e+18;-4.52294e+19;-610.5582183;-610.5582183;-633.0480951;-633.0480951;22.48987683;22.48987683;0.376732673;6.53e-05;24953.71043;0.19818912;-2103;cis-[PtCl2Br2];4;sq-pl;neutral;hal;https://doi.org/10.1002/ejic.201600573;0.406;Cl[Pt-2](Cl)(Br)Br
1858091.142;-10166400000000.0;-2542030000000.0;217376574.2;2541810000000.0;2541600000000.0;7800000022;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34789e+32;4.63652e+18;-4.52294e+19;-610.5580699;-610.5580699;-632.4540364;-632.4540364;21.89596658;21.89596658;0.353615599;0.00016119;24953.7191;0.32803483;-2346;[PtCl3I]2-;5;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.533;Cl[Pt-2](Cl)(Cl)I
1858091.187;-10166400000000.0;-2542030000000.0;217375626.2;2541810000000.0;2541600000000.0;7800000026;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34792e+32;4.63652e+18;-4.52294e+19;-610.5538052;-610.5538052;-636.6561548;-636.6561548;26.10234958;26.10234958;0.317670003;-6.67e-05;24953.72202;0.139154032;-2377;[PtClBr3]2-;6;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.272;Cl[Pt-2](Br)(Br)Br
1858091.032;-10166400000000.0;-2542030000000.0;217374752.4;2541810000000.0;2541600000000.0;7800000030;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5497302;-610.5497302;-640.2682321;-640.2682321;29.71850195;29.71850195;0.256987682;-0.000121832;24953.73333;0.00105266;-2690;[PtBr4]2-;7;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00109;Br[Pt-2](Br)(Br)Br
1858090.736;-10166400000000.0;-2542030000000.0;217375084.9;2541810000000.0;2541590000000.0;7800000029;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34786e+32;4.63652e+18;-4.52294e+19;-610.5489688;-610.5489688;-639.0856475;-639.0856475;28.5366787;28.5366787;0.206034032;-8.92e-05;24953.75142;0.479131667;-3103;cis-[PtCl2I2]2-;8;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.685;Cl[Pt-2](Cl)(I)I
1858090.728;-10166400000000.0;-2542030000000.0;217373981.0;2541810000000.0;2541590000000.0;7800000033;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5456884;-610.5456884;-643.2786597;-643.2786597;32.73297137;32.73297137;0.169811657;-0.000146389;24953.75377;0.202029552;-3260;[PtBr3I]2-;9;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.214;Br[Pt-2](Br)(Br)I
1858090.44;-10166400000000.0;-2542030000000.0;217373136.8;2541810000000.0;2541590000000.0;7800000036;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5419751;-610.5419751;-646.2677052;-646.2677052;35.72573016;35.72573016;0.084259681;-1.75e-05;24953.77299;0.000811368;-3977;trans-[PtBr2I2]2-;10;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.000852;I[Pt-2](Br)(I)Br
