Complex,Source_doi,Charge,Shift,Dipole,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
4,https://doi.org/10.1002/ejic.201600573,-2000,-1630,958.6,91,[PtCl4]2-,anion,sq-pl,hal,Cl[Pt-2](Cl)(Cl)Cl,569.0346601,569.0346601,569.0294975,569.0294961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,https://doi.org/10.1002/ejic.201600573,-2000,-1842,720.5,56,[PtCl3Br]2-,anion,sq-pl,hal,Cl[Pt-2](Cl)(Cl)Br,1115.450553,565.4651458,565.4651283,567.4311798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,https://doi.org/10.1002/ejic.201600573,0,-2090,1295.8,26,trans-[PtCl2Br2],neutral,sq-pl,hal,Br[Pt-2](Cl)(Br)Cl,1106.278839,1106.278835,562.2614106,562.2614053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://doi.org/10.1002/ejic.201600573,0,-2103,730.2,18,cis-[PtCl2Br2],neutral,sq-pl,hal,Cl[Pt-2](Cl)(Br)Br,1111.684443,1111.684381,563.5778996,563.5778558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,https://doi.org/10.1002/ejic.201600573,-2000,-2346,607,-6,[PtCl3I]2-,anion,sq-pl,hal,Cl[Pt-2](Cl)(Cl)I,1568.940212,564.3829447,564.3813476,571.1908121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,https://doi.org/10.1002/ejic.201600573,-2000,-2377,984,-17,[PtClBr3]2-,anion,sq-pl,hal,Cl[Pt-2](Br)(Br)Br,1108.635533,1101.598619,1101.598604,560.4605272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,https://doi.org/10.1002/ejic.201600573,-2000,-2690,1390.3,-55,[PtBr4]2-,anion,sq-pl,hal,Br[Pt-2](Br)(Br)Br,1098.239948,1098.239943,1098.239942,1098.23994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,https://doi.org/10.1002/ejic.201600573,-2000,-3103,714.8,-112,cis-[PtCl2I2]2-,anion,sq-pl,hal,Cl[Pt-2](Cl)(I)I,1559.54746,1559.48375,566.3475338,566.348305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,https://doi.org/10.1002/ejic.201600573,-2000,-3260,770.8,-119,[PtBr3I]2-,anion,sq-pl,hal,Br[Pt-2](Br)(Br)I,1548.310399,1095.039112,1095.038439,1102.948169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,https://doi.org/10.1002/ejic.201600573,-2000,-3977,1214.6,-184,trans-[PtBr2I2]2-,anion,sq-pl,hal,I[Pt-2](Br)(I)Br,1552.77304,1552.771589,1091.467676,1091.467674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
